央视频-央视频道,#genre#
CCTV1,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000210103.m3u8
CCTV2,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000203603.m3u8
CCTV3,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000203803.m3u8
CCTV4,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000204803.m3u8
CCTV5,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000205103.m3u8
CCTV5+,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000204503.m3u8
CCTV6,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000203303.m3u8
CCTV7,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000510003.m3u8
CCTV8,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000203903.m3u8
CCTV9,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000499403.m3u8
CCTV10,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000203503.m3u8
CCTV11,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000204103.m3u8
CCTV12,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000202603.m3u8
CCTV13,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000204603.m3u8
CCTV14,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000204403.m3u8
CCTV15,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000205003.m3u8
CCTV16,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2012492303.m3u8
CCTV16,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2012375003.m3u8
CCTV17,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000204203.m3u8
CCTV4K超高清,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000266303.m3u8
CGTN,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2001656803.m3u8
CGTN纪录,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2010155403.m3u8
CCTV第一剧场,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2012514403.m3u8
CCTV怀旧剧场,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2012511203.m3u8
CCTV兵器科技,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2012513403.m3u8
CCTV世界地理,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2012513303.m3u8
CCTV风云足球,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2012514203.m3u8
CCTV风云音乐,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2012514103.m3u8
CCTV风云剧场,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2012513603.m3u8
CCTV女性时尚,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2012513903.m3u8
CCTV文化精品,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2012513803.m3u8
CCTV央视台球,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2012513703.m3u8
CCTV电视指南,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2012514003.m3u8
CCTV卫生健康,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2012513503.m3u8
CCTV高尔夫网球,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2012512503.m3u8
央视频-卫视频道,#genre#
北京卫视,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000272103.m3u8
东方卫视,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000292403.m3u8
重庆卫视,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000297803.m3u8
浙江卫视,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000295503.m3u8
湖南卫视,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000296203.m3u8
广播频道,#genre#
中国之声,http://ngcdn001.cnr.cn/live/zgzs/index.m3u8
经济之声,http://ngcdn002.cnr.cn/live/jjzs/index.m3u8
音乐之声,http://ngcdn003.cnr.cn/live/yyzs/index.m3u8
经典音乐广播,http://ngcdn004.cnr.cn/live/dszs/index.m3u8
台海之声,http://ngcdn005.cnr.cn/live/zhzs/index.m3u8
神州之声,http://ngcdn006.cnr.cn/live/szzs/index.m3u8
大湾区之声,http://ngcdn007.cnr.cn/live/hxzs/index.m3u8
民族之声,http://ngcdn009.cnr.cn/live/mzzs/index.m3u8
文艺之声,http://ngcdn010.cnr.cn/live/wyzs/index.m3u8
老年之声,http://ngcdn011.cnr.cn/live/lnzs/index.m3u8
藏语广播,http://ngcdn012.cnr.cn/live/zygb/index.m3u8
阅读之声,http://ngcdn014.cnr.cn/live/ylgb/index.m3u8
维语广播,http://ngcdn013.cnr.cn/live/wygb/index.m3u8
香港之声,http://ngcdn008.cnr.cn/live/xgzs/index.m3u8
中国交通广播,http://ngcdn016.cnr.cn/live/gsgljtgb/index.m3u8
中国乡村之声,http://ngcdn017.cnr.cn/live/xczs/index.m3u8
哈语广播,http://ngcdn025.cnr.cn/live/hygb/index.m3u8
CGTNREDIO,https://sk.cri.cn/am846.m3u8
HITFM,http://cnlive.cnr.cn/hls/HITFM.m3u8
环球资讯广播,http://cnlive.cnr.cn/hls/huanqiuzixunguangbo.m3u8
轻松调频,http://sk.cri.cn/915.m3u8
CRI南海之声,http://sk.cri.cn/nhzs.m3u8
CRI轻松调频FM91.5,http://sk.cri.cn/915.m3u8
CRI环球资讯广播FM90.5,http://sk.cri.cn/905.m3u8
英语资讯广播ChinaPlusRadio,http://cnlive.cnr.cn/hls/yyzxgb.m3u8
CRI中文环球广播,http://sk.cri.cn/hyhq.m3u8
CRI海峡飞虹,http://sk.cri.cn/hxfh.m3u8
CRI客家之声,http://sk.cri.cn/hakka.m3u8
CRI闽南之音,http://sk.cri.cn/minnan.m3u8
CRINEWSPlusAM1008,http://sk.cri.cn/am1008.m3u8
咪咕轮播#genre#
周星驰,http://117.148.179.153/PLTV/88888888/224/3221231562/index.m3u8
周润发,http://117.148.179.177/PLTV/88888888/224/3221231709/index.m3u8
成龙,http://117.148.179.163/PLTV/88888888/224/3221231687/index.m3u8
刘德华,http://117.148.179.154/PLTV/88888888/224/3221231757/index.m3u8
吴京,http://117.148.179.183/PLTV/88888888/224/3221231564/index.m3u8
古天乐,http://117.148.179.176/PLTV/88888888/224/3221231645/index.m3u8
郭富城,http://117.148.179.152/PLTV/88888888/224/3221231688/index.m3u8
张国荣,http://117.148.179.177/PLTV/88888888/224/3221231790/index.m3u8
刘亦菲,http://117.148.179.165/PLTV/88888888/224/3221231787/index.m3u8
杨冪,http://117.148.179.183/PLTV/88888888/224/3221231556/index.m3u8
金庸作品,http://117.148.179.132/PLTV/88888888/224/3221231477/index.m3u8
僵尸剧场,http://117.148.179.165/PLTV/88888888/224/3221231742/index.m3u8
盜墓系列,http://117.148.179.164/PLTV/88888888/224/3221231652/index.m3u8
喜剧联盟,http://117.148.179.154/PLTV/88888888/224/3221231621/index.m3u8
神探狄仁杰,http://117.148.179.139/PLTV/88888888/224/3221231634/index.m3u8
高分影院,http://117.148.179.182/PLTV/88888888/224/3221231699/index.m3u8
怀旧老片,http://117.148.179.146/PLTV/88888888/224/3221231513/index.m3u8
午夜失眠剧场,http://117.148.179.141/PLTV/88888888/224/3221231516/index.m3u8
云上电影院,http://117.148.179.176/PLTV/88888888/224/3221231565/index.m3u8
TVB剧场,http://117.148.179.157/PLTV/88888888/224/3221231733/index.m3u8
试胆大会,http://117.148.179.166/PLTV/88888888/224/3221231672/index.m3u8
高能烧脑时刻,http://117.148.179.169/PLTV/88888888/224/3221231504/index.m3u8
4K剧场,http://117.148.179.161/PLTV/88888888/224/3221231624/index.m3u8
军旅剧场,http://117.148.179.145/PLTV/88888888/224/3221231585/index.m3u8
黃金剧场,http://117.148.179.183/PLTV/88888888/224/3221231637/index.m3u8
追剧少女,http://117.148.179.179/PLTV/88888888/224/3221231643/index.m3u8
经典贺岁片,http://117.148.179.159/PLTV/88888888/224/3221231679/index.m3u8
每日荐影,http://117.148.179.162/PLTV/88888888/224/3221231727/index.m3u8
香港电视侠#genre#
无线新闻台,http://iptv.tvfix.org/hls/inews.m3u8
无线新闻台(第2声道),http://iptv.tvfix.org/hls/inews2.m3u8
明珠台,http://iptv.tvfix.org/hls/pearl.m3u8
明珠台(第2声道),http://iptv.tvfix.org/hls/pearl2.m3u8
无线財經资讯台,http://iptv.tvfix.org/hls/finance.m3u8
无线財經资讯台(第2声道),http://iptv.tvfix.org/hls/finance2.m3u8
无线財經资讯台海外版,http://iptv.tvfix.org/hls/financenhk.m3u8
RTHK31,http://iptv.tvfix.org/hls/rthk31.m3u8
RTHK32,http://iptv.tvfix.org/hls/rthk32.m3u8
美亚电影台(粤语),http://iptv.tvfix.org/hls/mydy.m3u8
美亚电影台(普通话),http://iptv.tvfix.org/hls/mydy2.m3u8
天映经典(粤语),http://iptv.tvfix.org/hls/tyjd.m3u8
天映经典(普通话),http://iptv.tvfix.org/hls/tyjd2.m3u8
TVB经典台,http://iptv.tvfix.org/hls/tvbjd.m3u8
TVB为食台,http://iptv.tvfix.org/hls/tvbws.m3u8
TVB为食台(第2声道),http://iptv.tvfix.org/hls/tvbws2.m3u8
TVB星河(粤语),http://iptv.tvfix.org/hls/tvbxh.m3u8
TVB星河(普通话),http://iptv.tvfix.org/hls/tvbxh2.m3u8
TVB功夫台(粤语),http://iptv.tvfix.org/hls/tvbkf.m3u8
TVB功夫(普通话),http://iptv.tvfix.org/hls/tvbkf2.m3u8
凤凰资讯,http://iptv.tvfix.org/hls/fhzx.m3u8
凤凰中文,http://iptv.tvfix.org/hls/fhzw.m3u8
凤凰电影,http://iptv.tvfix.org/hls/fhdy.m3u8
Discovery,http://iptv.tvfix.org/hls/discovery.m3u8
动物星球,http://iptv.tvfix.org/hls/animal.m3u8
国家地理,http://iptv.tvfix.org/hls/natlgeo.m3u8
港台综合P5P#genre#
台視 HD,p5p://45.92.126.18:9906/604483a00001a70f01b50be75415ab3a.ts
公視 HD,p5p://45.92.126.18:9906/60448ebb000b822801e06fe5cbe82807.ts
台視綜合,p5p://45.92.126.18:9906/6044936700021fe101f2ad5ea50e836e.ts
中天綜合,p5p://45.92.126.18:9906/60449782000897640202b87e04b40c6d.ts
中天亞洲,p5p://45.92.126.18:9906/60449a27000cf419020d0e24d4fdafd9.ts
東森戲劇,p5p://45.92.126.18:9906/60449e3500031323021ce24de00b3ef2.ts
人間衛視,p5p://45.92.126.18:9906/60463f7d000802da087ae4d0305dfcaf.ts
tvN,p8p://45.92.126.18:9906/60440983000c3b9b09b7f844459e12ab.ts
Channel V,p8p://45.92.126.18:9906/60494a1e0001d684145c682429cd1a38.ts
歐洲Euronews,p5p://45.92.126.18:9906/60469e39000981f109ecf392ea2309d5.ts
靖天電影台,p5p://45.92.126.18:9906/6045b9cc00094ab70670a9bc88048a82.ts
龍華偶像,p5p://45.92.126.18:9906/60442ac30006b54f0059edebe8733672.ts
靖天映畫,p5p://45.92.126.18:9906/6045ba850003d28406737afe6daf6f4d.ts
曼迪日本台,p5p://45.92.126.18:9906/6068a12900029e3a13556dc2ad58c3d5.ts
台視財經,p5p://45.92.126.18:9906/604484f5000c504c01ba42aad30caf2b.ts
中視 HD,p5p://45.92.126.18:9906/60448622000d89b401bedac2a3be746c.ts
中視經典台,p5p://45.92.126.18:9906/604489250001a93601ca9b70388b5d75.ts
華視 HD,p5p://45.92.126.18:9906/60448a5e0007261101cf6380c974fa71.ts
華視體育文化,p5p://45.92.126.18:9906/60448b33000df9b601d2a54784a00d4b.ts
公視2HD,p5p://45.92.126.18:9906/60448f540003197f01e2c366b8927af8.ts
公視3HD,p5p://45.92.126.18:9906/6044903d0009037901e653127d757c7b.ts
大愛電視台,p5p://45.92.126.18:9906/6044917a0000fce101eb274c2044b550.ts
客家電視,p5p://45.92.126.18:9906/604494f1000344c901f8b0b9b9276851.ts
原民台,p5p://45.92.126.18:9906/60449577000d314201fabeb4cb9a2626.ts
中天娛樂台,p5p://45.92.126.18:9906/6044982d0007f3370205544c4cfdaaad.ts
東森超視,p5p://45.92.126.18:9906/60449b4f000e1ebf021192b074519d04.ts
