松視1,rtmp://161.202.204.248:1935/tv/ttv11
HAPPY,rtmp://161.202.204.248:1935/tv/ttv12
EXTASY HD/LEO TV,http://213.151.233.20:8000/dna-6233-tv-pc.m3u8
Redlight TV,http://51.15.0.141:88/redlightHD/tracks-v1a1/mono.m3u8#http://51.15.0.141:88/redlightHD/mpegts.mp4
HustlerHD,http://51.15.0.141:88/hustlerhd/tracks-v1a1/mono.m3u8#http://51.15.0.141:88/hustlerhd/mpegts.mp4
[RU]O-LA-LA,http://193.33.240.8:8080/o-la-la/index.m3u8
AST TV 1 HQ,https://www.ast.tv/stream/1/ultra.m3u8
AST TV 2 HQ,https://www.ast.tv/stream/2/ultra.m3u8
Filmon TV 1 (18+),http://www.filmon.com/vr-streams/6170.high/playlist.m3u8
Filmon TV 2 (18+),http://www.filmon.com/vr-streams/6158.high/playlist.m3u8
Filmon TV 3 (18+),http://www.filmon.com/vr-streams/6155.high/playlist.m3u8
Filmon TV 4 (18+),http://www.filmon.com/vr-streams/6152.high/playlist.m3u8
Pink Erotic 2,http://91.212.150.248/PinkErotic2/index.m3u8
[RU] Шелк,http://194.190.78.91:8080/shelksd/index.m3u8
[RU]Шелк HD,http://194.190.78.91:8080/shelk/index.m3u8
Shemale Tube TV HD (21+),https://www.ast.tv/stream/1/ultra.m3u8
Shemale Tube TV 2 HD (21+),https://www.ast.tv/stream/2/ultra.m3u8
Visit-X TV HD 720,http://194.116.150.47:1935/vxtv/live_720p/chunklist_w1156491225.m3u8
SHELK SD (18+),http://live-1.otcnet.ru/shelksd/index.m3u8
SHELK (18+),http://live-1.otcnet.ru/shelk/index.m3u8
Jasmin TV HD (18+),http://109.71.162.112:1935/live/hd.jasminchannel.stream/playlist.m3u8
Miami TV (18+),http://59ec5453559f0.streamlock.net:1935/miamitv/smil:miamitvROKU/chunklist_b2592000.m3u8
Miami TV Jenny For You (18+),http://59ec5453559f0.streamlock.net:1935/jennyforyou/jennyforyou/playlist.m3u8
Miami TV Jenny Live (18+),http://59ec5453559f0.streamlock.net:1935/JennyLive/JennyLive/playlist.m3u8
Miami TV Promo (18+),http://59ec5453559f0.streamlock.net:1935/mexicotv/smil:miamitvmexico/chunklist_b1896000.m3u8
自然,http://185.57.68.33:8091/232/tracks-v1a1/index.m3u8
海底,http://live-1.otcnet.ru/podvodoi/index.m3u8
SOCHI,http://sochi.camera:8080/cam_359/tracks-v1a1/index.m3u8
